scope,run,split_seed,model,precision,recall,f1,tp,fp,fn,tn
keras,12,18,SVM,0.75,0.6585365853658537,0.7012987012987013,27,9,14,151
keras,13,19,NB,0.0,0.0,0.0,0,0,41,160
keras,13,19,LR,0.7631578947368421,0.7073170731707317,0.7341772151898734,29,9,12,151
keras,13,19,SVM,0.8275862068965517,0.5853658536585366,0.6857142857142857,24,5,17,155
keras,14,20,NB,0.0,0.0,0.0,0,0,41,160
keras,14,20,LR,0.7,0.6829268292682927,0.691358024691358,28,12,13,148
keras,14,20,SVM,0.6774193548387096,0.5121951219512195,0.5833333333333334,21,10,20,150
keras,15,21,NB,0.0,0.0,0.0,0,0,41,160
keras,15,21,LR,0.7105263157894737,0.6585365853658537,0.6835443037974683,27,11,14,149
keras,15,21,SVM,0.7333333333333333,0.5365853658536586,0.6197183098591549,22,8,19,152
keras,16,22,NB,0.0,0.0,0.0,0,0,41,160
keras,16,22,LR,0.6585365853658537,0.6585365853658537,0.6585365853658537,27,14,14,146
keras,16,22,SVM,0.7419354838709677,0.5609756097560976,0.6388888888888888,23,8,18,152
keras,17,23,NB,0.0,0.0,0.0,0,0,41,160
keras,17,23,LR,0.6829268292682927,0.6829268292682927,0.6829268292682927,28,13,13,147
keras,17,23,SVM,0.6551724137931034,0.4634146341463415,0.5428571428571428,19,10,22,150
keras,18,24,NB,0.0,0.0,0.0,0,0,41,160
keras,18,24,LR,0.6923076923076923,0.6585365853658537,0.675,27,12,14,148
keras,18,24,SVM,0.76,0.4634146341463415,0.5757575757575758,19,6,22,154
keras,19,25,NB,0.0,0.0,0.0,0,0,41,160
keras,19,25,LR,0.7058823529411765,0.5853658536585366,0.64,24,10,17,150
keras,19,25,SVM,0.8095238095238095,0.4146341463414634,0.5483870967741935,17,4,24,156
keras,20,26,NB,0.0,0.0,0.0,0,0,41,160
keras,20,26,LR,0.6097560975609756,0.6097560975609756,0.6097560975609756,25,16,16,144
keras,20,26,SVM,0.6296296296296297,0.4146341463414634,0.5,17,10,24,150
keras,21,27,NB,0.0,0.0,0.0,0,0,41,160
keras,21,27,LR,0.7272727272727273,0.5853658536585366,0.6486486486486487,24,9,17,151
keras,21,27,SVM,0.7857142857142857,0.5365853658536586,0.6376811594202898,22,6,19,154
keras,22,28,NB,0.0,0.0,0.0,0,0,41,160
keras,22,28,LR,0.6944444444444444,0.6097560975609756,0.6493506493506493,25,11,16,149
keras,22,28,SVM,0.84,0.5121951219512195,0.6363636363636364,21,4,20,156
keras,23,29,NB,0.0,0.0,0.0,0,0,41,160
keras,23,29,LR,0.5333333333333333,0.5853658536585366,0.5581395348837209,24,21,17,139
keras,23,29,SVM,0.5757575757575758,0.4634146341463415,0.5135135135135135,19,14,22,146
keras,24,30,NB,0.0,0.0,0.0,0,0,41,160
keras,24,30,LR,0.5384615384615384,0.5121951219512195,0.525,21,18,20,142
keras,24,30,SVM,0.5862068965517241,0.4146341463414634,0.4857142857142857,17,12,24,148
keras,25,31,NB,0.0,0.0,0.0,0,0,41,160
keras,25,31,LR,0.6410256410256411,0.6097560975609756,0.625,25,14,16,146
keras,25,31,SVM,0.68,0.4146341463414634,0.5151515151515151,17,8,24,152
keras,26,32,NB,0.0,0.0,0.0,0,0,41,160
keras,26,32,LR,0.6785714285714286,0.4634146341463415,0.5507246376811594,19,9,22,151
keras,26,32,SVM,0.8,0.3902439024390244,0.5245901639344263,16,4,25,156
keras,27,33,NB,0.0,0.0,0.0,0,0,41,160
keras,27,33,LR,0.6904761904761905,0.7073170731707317,0.6987951807228916,29,13,12,147
keras,27,33,SVM,0.8846153846153846,0.5609756097560976,0.6865671641791045,23,3,18,157
keras,28,34,NB,0.0,0.0,0.0,0,0,41,160
keras,28,34,LR,0.6486486486486487,0.5853658536585366,0.6153846153846154,24,13,17,147
keras,28,34,SVM,0.7083333333333334,0.4146341463414634,0.5230769230769231,17,7,24,153
keras,29,35,NB,0.0,0.0,0.0,0,0,41,160
